Free,Money,Credit,Remove,Business,Email,You,Your,Internet,Order,ExclamationMark,DollarSign,CapitalAverage,CapitalLongest,CapitalTotal,SpamScore,Spam
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002610077167498865,0.012256014525646846,0.005808080808080807,0.0,0
0.10800000000000001,0.0,0.0,0.0,0.0,0.035110533159947985,0.14880000000000002,0.04950495049504951,0.0,0.0,0.0,0.0,0.00017703132092601007,0.0022696323195642307,0.003409090909090909,0.09857612267250823,0
0.036,0.0,0.0,0.0,0.0,0.0,0.019733333333333335,0.016201620162016202,0.0,0.17870722433460076,0.0,0.012266928361138373,0.0031175669541534273,0.03903767589650477,0.057323232323232325,0.04198612632347572,0
0.18000000000000002,0.0,0.0,0.0,0.0,0.0,0.096,0.4473447344734473,0.04050405040504051,0.0,0.6199163816039529,0.11972522080471051,0.0575724012709941,0.3209260099863822,0.04873737373737374,0.8488499452354875,1
0.012,0.0,0.0,0.0,0.0,0.0,0.024,0.018001800180018002,0.015301530153015303,0.032319391634980994,0.011022424933485368,0.005397448478900883,0.0016459373581479801,0.011348161597821153,0.15839646464646465,0.02555677254472435,1
0.0,0.0,0.0,0.028885832187070155,0.0,0.05461638491547463,0.0224,0.0576057605760576,0.0,0.0,0.011782592170277462,0.6226692836113837,0.010909668633681344,0.082614616432138,0.09362373737373739,0.47462577583059506,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007898320472083524,0.01044030866999546,0.010921717171717171,0.0,0
0.032,0.03265306122448979,0.0,0.0,0.0,0.010403120936280883,0.009066666666666667,0.022502250225022502,0.0,0.0,0.004561003420752566,0.005888125613346419,0.0009596005447117566,0.031320926009986386,0.038131313131313134,0.06717780211756116,0
0.0,0.0,0.0,0.0,0.0,0.04161248374512353,0.0,0.0,0.05850585058505851,0.0,0.0,0.0,0.002807989105764866,0.03903767589650477,0.016477272727272726,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017022242396731728,0.004993191103041307,0.002840909090909091,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.1616,0.0,0.0,0.0,0.0,0.0,0.0016059918293236494,0.009078529278256923,0.0022095959595959595,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.11093333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006313131313131314,0.0,0
0.068,0.0,0.0,0.0,0.033203125,0.0,0.009066666666666667,0.0,0.0,0.0,0.0,0.013248282630029442,0.0009741261915569677,0.004539264639128461,0.010669191919191919,0.07192405987586711,1
0.0,0.03673469387755102,0.0,0.0,0.0,0.0,0.10666666666666667,0.29432943294329433,0.016201620162016202,0.017110266159695818,0.09578107183580388,0.015210991167811582,0.002556513844757149,0.03086699954607354,0.0341540404040404,0.1361810879883169,1
0.22400000000000003,0.0,0.0,0.0,0.0,0.0,0.12000000000000001,0.10081008100810082,0.0,0.0,0.233751425313569,0.0,0.001273717657739446,0.008170676350431231,0.008585858585858586,0.4289886820007302,1
